Token,Frequency
unprecedented,24
amount,40
material,104
pre,49
cambrian,9
wished,122
also,160
obtain,16
variety,15
upper,101
fossiliferous,2
rocks,52
primal,104
history,90
bleak,29
realm,66
highest,30
importance,42
temperate,2
tropical,10
teeming,14
vegetable,26
lichens,5
marine,30
fauna,2
arachnida,1
penguins,23
northern,27
survivals,8
common,119
information,68
hoped,57
expand,3
accuracy,8
signs,104
enlarge,4
blasting,8
order,120
condition,73
borings,8
depth,45
according,76
promise,37
confined,19
exposed,26
surfaces,23
inevitably,3
slopes,55
ridges,10
mile,45
thickness,7
solid,95
overlying,1
afford,15
waste,70
mere,76
glaciation,8
plan,65
sinking,26
copper,8
electrodes,4
thick,90
clusters,11
limited,32
areas,16
current,40
driven,47
dynamo,2
experimentally,5
starkweather,5
moore,75
proposes,1
warnings,10
wireless,24
thearkham,10
advertiserand,1
associated,27
press,49
articles,17
consisted,20
lake,147
biology,8
atwood,12
physics,6
meteorologist,1
representing,8
geology,10
nominal,2
command,27
besides,69
sixteen,20
assistants,2
graduate,5
students,31
nine,28
skilled,7
mechanics,6
twelve,23
qualified,2
pilots,2
competent,8
operators,1
eight,62
understood,30
navigation,7
compass,6
sextant,2
addition,8
ships,44
ex,8
whalers,2
reinforced,3
conditions,56
auxiliary,2
steam,11
fully,119
manned,4
nathaniel,4
derby,48
pickman,75
foundation,11
special,50
contributions,3
financed,1
hence,65
preparations,11
extremely,19
thorough,19
absence,71
publicity,13
machines,27
unassembled,1
planes,33
delivered,20
boston,81
loaded,3
marvellously,17
specific,24
pertaining,5
supplies,23
regimen,2
transportation,16
construction,16
profited,5
excellent,28
example,25
recent,74
exceptionally,6
brilliant,16
predecessors,4
number,89
ample,18
noticed,176
newspapers,18
sailed,34
harbour,56
september,29
2,30
1930,14
leisurely,4
coast,50
panama,1
canal,11
stopping,12
samoa,1
hobart,1
tasmania,1
latter,105
final,121
polar,17
relied,8
greatly,58
ship,111
captains,11
j,15
b,40
douglas,14
commanding,5
brigarkham,1
commander,7
georg,1
thorfinnssen,2
barquemiskatonic,1
veteran,9
waters,77
inhabited,24
sun,159
north,180
stayed,38
horizon,47
62,1
latitude,18
sighted,14
icebergs,1
vertical,21
reaching,45
circle,67
october,37
20,27
appropriately,3
quaint,26
ceremonies,14
considerably,16
temperature,16
bothered,11
voyage,20
tropics,3
worse,68
rigours,3
occasions,14
curious,364
atmospheric,5
effects,35
enchanted,27
vastly,25
including,57
strikingly,6
mirage,15
bergs,1
unimaginable,13
cosmic,101
castles,5
pushing,20
fortunately,25
neither,80
extensive,24
thickly,23
packed,19
regained,17
67,4
east,86
longitude,15
175,2
26,3
strong,84
blink,1
noon,65
thrill,17
excitement,51
snow,77
chain,26
vista,15
ahead,195
outpost,5
cryptic,56
frozen,27
peaks,94
obviously,77
admiralty,9
task,43
round,90
cape,13
adare,1
sail,21
victoria,6
shore,79
mcmurdo,14
volcano,3
erebus,6
77,4
9,14
lap,7
fancy,91
stirring,32
barren,21
looming,8
constantly,43
west,241
low,220
grazing,5
southern,42
midnight,71
hazy,9
reddish,14
rays,43
bluish,27
lanes,27
bits,32
granite,34
slope,83
desolate,22
summits,15
raging,4
intermittent,7
gusts,8
wind,244
cadences,3
vague,189
suggestions,48
sentient,13
musical,23
notes,94
extending,19
subconscious,25
mnemonic,5
reason,128
disquieting,31
reminded,30
disturbing,60
asian,7
paintings,23
nicholas,6
roerich,7
descriptions,17
evilly,19
fabled,25
leng,54
occur,17
dreadednecronomiconof,3
arab,24
abdul,37
alhazred,22
rather,222
sorry,32
monstrous,266
book,132
seventh,11
november,24
westward,32
temporarily,12
franklin,2
island,84
descried,4
cones,13
mts,1
parry,1
stretched,69
rising,78
perpendicularly,2
height,85
200,9
rocky,30
cliffs,54
quebec,1
marking,17
southward,29
lee,20
smoking,16
mt,6
scoriac,2
peak,49
towered,17
12,23
700,5
eastern,34
sky,236
japanese,1
print,22
sacred,33
fujiyama,1
10,33
900,1
puffs,6
intermittently,7
danforth,63
pointed,68
lava,23
snowy,14
remarking,4
1840,3
undoubtedly,43
poe,15
image,99
wrote,65
lavas,1
restlessly,9
rolltheir,1
sulphurous,2
currents,14
yaanekin,2
ultimate,97
climes,1
pole,28
groan,5
roll,14
mount,16
boreal,6
reader,17
talked,103
deal,56
interested,47
enigmaticalarthur,1
gordon,2
pym,1
background,61
myriads,5
grotesque,116
squawked,1
fins,3
fat,15
seals,3
visible,138
swimming,8
sprawling,8
cakes,2
drifting,20
using,36
boats,7
effected,9
landing,34
shortly,48
9th,4
carrying,28
cable,6
preparing,23
unload,1
breeches,6
buoy,1
arrangement,26
treading,3
poignant,13
complex,27
particular,51
expeditions,8
preceded,8
provisional,5
headquarters,10
aboard,9
landed,18
tents,11
tanks,4
outfit,13
cameras,1
portable,6
outfits,1
communicating,6
slarge,1
likely,49
visit,85
convey,21
advertiser,2
spowerful,1
station,68
kingsport,42
mass,64
summer,77
impossible,60
winter,35
sending,32
themiskatonicnorth,1
freezing,5
need,138
repeat,36
published,10
ascent,33
mineral,13
several,227
singular,127
speed,42
accomplished,25
layers,8
test,25
equipment,18
perilous,14
assembling,5
atop,26
health,33
55,2
alaskan,1
sledge,8
really,166
destructive,8
temperatures,4
windstorms,2
thermometer,1
varied,28
zero,4
25,15
england,64
winters,4
accustomed,33
semi,45
permanent,20
destined,14
storage,10
cache,13
dynamite,7
actual,98
fifth,14
pilot,3
thearkhamin,1
moving,80
employ,8
shuttle,2
service,29
600,4
miles,79
beardmore,2
glacier,5
unanimous,2
accounts,39
appalling,24
tempests,4
pour,6
dispense,1
intermediate,2
bases,9
chances,15
economy,6
probable,29
efficiency,5
spoken,52
non,70
squadron,1
21,7
shelf,21
unfathomed,11
silences,3
echoing,10
engines,4
moderately,4
radio,10
compasses,3
opaque,5
fog,7
loomed,45
latitudes,1
83,1
84,1
largest,12
valley,100
giving,51
frowning,5
mountainous,10
coastline,1
truly,52
entering,38
aeon,45
realised,115
nansen,2
towering,18
15,24
000,35
establishment,11
86,3
7,21
174,1
23,8
phenomenally,5
rapid,19
effective,12
blastings,2
trips,23
flights,25
arduous,5
triumphant,8
gedney,20
carroll,7
december,13
13,6
8500,1
drillings,1
ground,216
sunk,27
performed,21
places,175
previous,62
explorer,14
granites,1
beacon,18
